word,section,meaning
cheedar,Biological,mouth?
pchedal,Biological,mouth?
okaiiin,Biological,eye?
qoted,Biological,time?
alchedy,Biological,
otedal,Biological,
ychedar,Biological,
lteedy,Biological,
oror,Biological,
orair,Biological,
chetain,Biological,
otechdy,Biological,
okaral,Biological,
otan,Biological,
oin,Biological,eye
chpchy,Cosmological,month
cheoly,Cosmological,month
qoteor,Cosmological,time
shchy,Cosmological,year
otaldal,Cosmological,time
ykeear,Cosmological,
dalr,Cosmological,
ota,Cosmological,time
oteeosy,Cosmological,time
opalor,Cosmological,
oteeal,Cosmological,time
ald,Cosmological,
ykeeos,Cosmological,
cheyky,Cosmological,month
ypaiin,Cosmological,
lkeol,Pharmaceutical,vessel
qoteo,Pharmaceutical,
olkees,Pharmaceutical,cup
kshar,Pharmaceutical,cup
opary,Pharmaceutical,
chckhaiin,Pharmaceutical,measure
qoteeo,Pharmaceutical,
pchedaiin,Pharmaceutical,
cheocthy,Pharmaceutical,
qotees,Pharmaceutical,
tedain,Pharmaceutical,
dsheedy,Pharmaceutical,measure
qockheey,Pharmaceutical,
chosaiin,Pharmaceutical,
qotchd,Pharmaceutical,
