<f89r1.1,@Lc;H> okchshy
<f89r1.2,@Lf;H> qkol
<f89r1.3,@Lf;H> oldam
<f89r1.4,@Lf;H> otoldy
<f89r1.5,@Lf;H> ararchodaiin
<f89r1.6,@P0;H> qoar.shar.qopcholy.qokod.chepy.dar.sheey.okor.sheeos.oldain
<f89r1.7,+P0;H> dshody.qocthy.chockhy.dal.chedy.qokeody.daldaiin.chodaiin.dal
<f89r1.8,+P0;H> qokeol.chol.qodaiin.chol.cheody.qokechy.daiin.ctheody.dam
<f89r1.9,+P0;H> yshor!!!oiiin.daiin.qokeey.daiin.ckhol.qokai!n.cheamy
<f89r1.10,+P0;H> tdai!n.schol.cheokycheody.qokar.dal.chor.ckhhy.daiin
<f89r1.11,@Lc;H> ykyd
<f89r1.12,@Lf;H> chol.ches
<f89r1.13,@Lf;H> otorain
<f89r1.14,@Lf;H> okaiin.dan
<f89r1.15,@P0;H> tcheol.qoeair.sheol.qocphey.saiin.cheocphey.dal.darolm
<f89r1.16,+P0;H> om.sheey.qokey.l.daiin.dal.chom.chekechy.chol.cheos.aiin.dy
<f89r1.17,+P0;H> qeaiin.cheol.seey.qotey.qokeeol.daiin.y!keedy.daiin.dam
<f89r1.18,+P0;H> dal!s.al.dal.cheody.dain!aldy.al!.daldal
<f89r1.19,+P0;H> pshol.sheo.?oaithy.cheoepey.s.sheor.qokair.y.dam.daly
<f89r1.20,+P0;H> daim.cheom.qoaikhy.air.cheody.ldai!n.dal.chom.chtae!m
<f89r1.21,+P0;H> taiin.dam.shoet!y!.dal.qokchy.ykchdy.otcham.ol.r!chs.aiin
<f89r1.22,+P0;H> ysheeo.r.sheol.qockhedy.yty.sheody.qotol.chead.chey.dal
<f89r1.23,+P0;H> dai!n.oteor.cheody.cheodai!n.daiinchodaiin
<f89r1.24,@Lc;H> yko!cfhy
<f89r1.25,@Lf;H> saldam
<f89r1.26,@Lf;H> sydarary
<f89r1.27,@Lf;H> ydcph!dy
<f89r2.1,@Lc;H> odory
<f89r2.2,@Lf;H> doly
<f89r2.3,@Lf;H> opchosam
<f89r2.4,@Lf;H> saloiin.sheol
<f89r2.5,@Lf;H> opcheor
<f89r2.6,@P0;H> qokcheody.cheodal.dair.chol!keedy.qokedy.cheyd.cheo.dal.qoair.shey.cphoeedol.deey.qockhey.choldy.daim
<f89r2.7,+P0;H> chos.aiin.cheodal.!!!!daiin.chy.chedai!n.dolchsyc!khe!!ol.daiin.cho!y.cheedy.tchodol.chor.choldy.chos.dol.okchee!g!!
<f89r2.8,+P0;H> toy.daiin.daiin.daiin.ody.qokeey.cheoldy.qody.cheor.s.ain.daiin.oky.cheody.cheoky
<f89r2.9,@Lc;H> otoldy
<f89r2.10,@Lf;H> okol.shol.dy
<f89r2.11,@Lf;H> opcharoiin
<f89r2.12,@P0;H> porechol.qoda.qoteol.oldaiin.otol.sheor.shor.ol.daiin.otchol.cheolotolfcho.dar.cho.lkeopol.oeeor.or
<f89r2.13,+P0;H> daiin.olkey.okeol.okeyokeeol.qoor.ol.chor.cheky.shol.daiiin.chol.cheol.kol.dam.olcheol.dol.cheol
<f89r2.14,+P0;H> tos.ol.chor.ydaiin.chey.s.oiiin.chckhy.qokeol.okey.okeey.keey.coeky.qokol.okeey.dal.cheeody.o!ckhy
<f89r2.15,+P0;H> ycheo.keeo.ckh!o.s!aiin.okeo.daiin.ockhy.s.ockhey.saiin.sheek!y
<f89r2.16,@Lc;H> korain.y
<f89r2.17,@Lf;H> sodar
<f89r2.18,@Lf;H> cheys
<f89r2.19,@Lf;H> cheody
<f89r2.20,@Lf;H> ofor!ain
<f89r2.21,@Lf;H> okshd.chos
<f89r2.22,@P0;H> kolche!s.sheol.qokeoefy.sheey.opcheor.opcheol.shody.sholdyqokol.chey.oldy.sheodal.ytoldy
<f89r2.23,+P0;H> daiin.cheok.o!keol.daiin.dal.dair.qokeey.okeol.daiin.ykeodyokeeeo.ees.cheey.ykeol.cheo.chek!y
<f89r2.24,+P0;H> yokeeol.cheol.qokeey.qokeol.chey.eeeokor.okeey.key.daiinqokeol.cheey.qokeey.saiin.oteos
<f89r2.25,+P0;H> doiin.dal.sheol.s.aiin.qocheey.daii!n.qokeeol.qokeody.chol.cheolykeo.qo.qol.cheo.loiiin.daimom
<f89r2.26,+P0;H> s!cheor.sy.sor!cheey.dol.cheor.cheea.keeo.qokeey.daiin.ycheas.yokeey.!keeokechy.cthey.daiin.dy
<f89r2.27,+P0;H> qokol.cheor.okoiin.okeoy.qoeey.cheo.r.cheey.qokeol.cheal.s.aiino.cheol.soiiin.dair.chey.daiin
<f89r2.28,+P0;H> o.r.ai!n.or.ai!n.ol.daiin.qoaiin.ol.chkaiin.daiin.okar.s.air.yl.dairl
<f89r2.29,@Lc;H> okain
<f89r2.30,+Lc;H> yorain
<f89r2.31,@Lf;H> ofakal
<f89r2.32,@Lf;H> otalsy
<f89r2.33,@Lf;H> ytarem
<f89r2.34,@Lf;H> otolarol
