Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
0     | 1006074   | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
1     | 1006075   | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
2     | 1006076   | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
3     | 1006077   | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
4     | 1006078   | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
5     | 1006079   | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
6     | 1006080   | f4r      | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
7     | 1006081   | f4v      | f4r      | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
8     | 1006082   | f5r      | f4v      | f4r      | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
9     | 1006083   | f5v      | f5r      | f4v      | f4r      | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -        | -       
10    | 1006084   | f6r      | f5v      | f5r      | f4v      | f4r      | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -        | -       
11    | 1006085   | f6v      | f6r      | f5v      | f5r      | f4v      | f4r      | f3v      | f3r      | f2v      | f2r      | f1v      | f1r      | -        | -        | -        | -        | -        | -        | -        | -       
