Plant Word,Frequency,Source Pages
ordaiin,113,
oaiin,83,"102v, 107r, 111r, 112v, 113r, 114v, 13v, 18v, 26r, 35v, 49v, 51r, 54v, 55v, 5r, 67r, 72r"
olchdy,60,"115r, 34v, 76r, 77v, 80r, 84r"
otch,57,"19v, 67v"
okeol,42,"100r, 100v, 101r, 101v, 102r, 102v, 103r, 104v, 105v, 107r, 107v, 108r, 108v, 112v, 17v, 23v, 31r, 31v, 3v, 4v, 67r, 67v, 68r, 68v, 69v, 70r, 71r, 72r, 72v, 78v, 81v, 83v, 87r, 89r, 89v, 93r, 99r, 99v"
otaramy,34,99v
okoaly,32,68r
oro,28,"15v, 24v, 84r, 86v, 99r"
okodar,18,1v
orarol,18,89v
okor,18,"100v, 101r, 101v, 102r, 104r, 112v, 115v, 14r, 17r, 31v, 32r, 34r, 38r, 3v, 42v, 51v, 54r, 58v, 67v, 68r, 6v, 76v, 89r, 89v, 90r, 93r, 95r, 99r, 99v, 9r"
oteeol,17,"105r, 107r, 111r, 115v, 38v, 68v, 71r, 90v"
ockhol,15,54r
okeeodal,14,68r
olara,12,
okos,5,"13v, 40r, 68r, 68v, 72r, 99r"
opchees,4,115v
olchy,4,"113v, 115r, 76r, 81v"
oty,3,"103r, 103v, 106r, 106v, 107r, 107v, 111r, 112r, 112v, 113r, 114r, 115v, 116r, 13v, 14v, 15v, 16v, 19v, 20v, 21r, 22r, 22v, 23r, 29r, 32r, 36v, 37r, 37v, 43r, 45r, 45v, 46v, 50v, 51r, 52r, 52v, 53r, 53v, 56r, 58r, 66v, 67v, 68v, 69v, 6v, 70r, 70v, 71v, 72v, 73v, 75r, 75v, 76r, 76v, 78r, 78v, 79r, 79v, 80r, 80v, 81r, 82v, 84r, 86v, 94v, 95r, 95v, 96r, 9v"
otary,2,"107v, 113v, 43r, 58r, 76v"
olaiin,2,"101r, 101v, 102r, 103v, 106v, 107v, 108v, 111v, 112r, 112v, 113v, 114v, 17r, 33v, 39r, 40r, 46v, 48r, 50r, 50v, 58r, 70v, 72r, 72v, 75r, 76r, 77r, 79r, 84r, 85r, 86v, 88v, 89v, 94r, 95v, 99r, 99v"
olsy,1,"5r, 99v"
oam,1,108v
oaro,1,99r
osheeo,1,114v
okodaly,1,68r
