section,variable,appears_on
Astro,oteody,f73v
Astro,aly,
Astro,oteos,
Astro,okody,f69v
Astro,opaiin,f73r
Astro,ykey,f73v
Astro,okeo,
Astro,okees,
Astro,oteeol,f71r
Astro,okedal,f73r
Astro,oto,
Astro,orom,
Astro,ykeody,"f69v, f73v"
Astro,okeos,"f73r, f73v"
Astro,otoly,f73r
Bio,qol,
Bio,qokain,
Bio,olkedy,
Bio,olshedy,
Bio,l!chedy,
Bio,qokshedy,
Bio,p!!!ol,
Bio,tal,
Bio,ol<-><!figure>,
Bio,olkar,
Bio,dy<-><!figure>,
Bio,olshey,
Bio,p!!!chedy,
Bio,s!ai!n,
Bio,sheety,
Bio,qolchey,
Bio,qolchedy,
Bio,lsheedy,
Bio,chedy<-><!figure>,
Bio,<!figure>daiin,
Bio,shckhedy,
Bio,r!ol,
