category,voynich_word,frequency_in_category,global_ratio
water,daiinchotcheyqoteeeychokeos<-><!plant>cheeschrcheaiin,0.33,1/1
water,dorcholchorcholkeolchychty<-><!plant>daiinotchorchan,0.33,1/1
water,kooiincheopchorotaiinodainchor<-><!plant>dairshty,0.33,1/1
water,kchokchyshosholqotcholoeeesqoty<-><!plant>chordaiin,0.33,1/1
water,chokoishechorcheolcholdolody<$><!plant>,0.33,1/1
water,otchychorlshycholchodychodain<-><!plant>chcthydaiin,0.33,1/1
water,shocholocheorchodaiin<$>,0.33,1/1
water,kchorshydaiiinchckhoy<-><!plant>ssheydorcholdaiin,0.33,1/1
water,<!2-><!label,0.33,1/1
water,<!5-><!label,0.33,1/1
water,f->kshorsholcphokcholchcfhhy,0.33,1/1
water,s!!!!!!!,0.33,1/1
water,y->okeodshochotsholdam<-><!plant>,0.33,1/1
water,e->qokeolchokeeodyotolkchoscholdaiin<$><!plant>,0.33,1/1
water,p->tchotcheychokeeo!dolrcheeyotchodar<-><!plant>dchodchog,0.33,1/1
water,k!!!!!!!,0.33,1/1
water,?->qotchychokchychoky<-><!plant>,0.33,1/1
water,o->qokchyqokchodshocthy,0.33,1/1
water,y->chokeoshocheorcheo!kchetchordaiindy<-><!plant>daiinqokg,0.33,1/1
water,?<!@140>,0.33,1/1
water,<!3-><!label,0.33,1/1
water,y->ochokeeyckheydaiindainchokam<-><!plant>,0.33,1/1
water,k->cholchorcheschkal!chychokeeoky<-><!plant>chokoran,0.33,1/1
water,d->chokaiinchodlschariindaiinchaindy<-><!plant>chetchody,0.33,1/1
water,e!!!!!!!,0.33,1/1
water,r->chotchychcthycth!ykoddy<-><!plant>,0.33,1/1
water,s->qoteeescheodaiindol<-><!plant>,0.33,1/1
water,???->qotchocheolcholschochctheydcheol<-><!plant>chotchody,0.33,1/1
water,?<!@192>,0.33,1/1
water,<!1-><!label,0.33,1/1
water,s->qotcheolcheychorchokalychordal<-><!plant>chaiin!d,0.33,1/1
water,k->chotchychodaiindan<-><!plant>,0.33,1/1
water,<!5->?<!@140>!!!!!!!!!,0.33,1/1
water,o->shocho!!oaiinsheochoty<$>,0.33,1/1
water,?<!@164>,0.33,1/1
water,<!3->y,0.33,1/1
water,<!2->r,0.33,1/1
water,<!1->o,0.33,1/1
water,<!4-><!label,0.33,1/1
water,e->sholsho!daiinqotchar<-><!plant>,0.33,1/1
water,o->qo!!!!!ksho!daiinshckhydar<-><!plant>,0.33,1/1
water,p->ochorsheeodksheo!dl<-><!plant>,0.33,1/1
water,?->fcho!chorsholtcholopcheodaldchsy<-><!plant>chotchy,0.33,1/1
water,e->oaiinchydaiincholchaiinkshar!dy<-><!plant>chokchy,0.33,1/1
water,@?????????->qokeaiincheochorchoteeykcheoldain<-><!plant>chodairin,0.33,1/1
water,y->o!aiinchekyrchorchs!!eesykchorsol<-><!plant>chcthos,0.33,1/1
water,???->dchodcholchokchodaiinchokchytchol<-><!plant>okcho!kol,0.33,1/1
water,@?????????->dcholctholdaiinchoky<-><!plant>,0.33,1/1
water,<!label,0.33,1/1
water,<!4->e!!!!!!!,0.33,1/1
water,y->ykchokeorcheeydaiin<$>,0.33,1/1
water,qotchochodrchochoshychsoriin,0.33,1/2
water,ololol!cheycheykchyqotcholchosory<-><!plant>,0.33,1/2
water,qokeorcheeyqokchyqotody<-><!plant>,0.33,1/2
water,qotorshochotchychoshyqopchorqodordaiin,0.33,1/2
water,olorshshessh!eotycholdaiin,0.33,1/2
water,shorchoiinshorshorshy,0.33,1/2
water,odchychoretyshol<$>,0.33,1/2
water,s<!@S>odcholytcheoldaiincthodd<-><!plant>,0.33,1/2
water,podaiincheokchodaiinchcthy<-><!plant>,0.33,1/2
water,chorsheorcheyteeyqotan<-><!plant>,0.33,1/2
water,chotcheoldchol<$>,0.33,1/2
water,ocholcholchodydchodaiindaiin<-><!plant>,0.33,1/2
water,sheorcheolodchodcheeeyqotcho!tchy,0.33,1/2
water,"q<!@q"">ochocheeydcheyqotchody",0.33,1/2
water,"q<!@q"">oshoqokyshorsheorotoldaiin<-><!plant>",0.33,1/2
water,kshoqodainchotshydodar<-><!plant>,0.33,1/2
water,dsho<-><!plant>dchordchordaiindorcheoraiin<$><!plant>,0.33,1/2
water,chotchorchycheetqolsor,0.33,1/2
water,dcheorcheeykeol!cheychokcholchokan<-><!plant>,0.33,1/2
water,oykeeeycheyksheychoroiin<-><!plant>,0.33,1/2
water,po!sholdyshorsholshtchyshor!pchoropchorshor!kchy,0.33,1/2
food,oykeeysoiiinchokqokchydaokol<-><!plant>,0.33,1/1
food,soshyfcholshorcheorykaiins<-><!plant>,0.33,1/1
food,pcho!daiinchopolshoiindaiindain<-><!plant>,0.33,1/1
food,ydaiinol!chykchordaiinolol<-><!plant>,0.33,1/1
food,qotchorchodshotychodydoldydy<-><!plant>okchyd!y,0.33,1/1
food,qokcholdardalaqotolo<-><!plant>,0.33,1/1
food,ycholoirokorchoorockhy<-><!plant>,0.33,1/1
food,ochkcharkolshydaiindorody<-><!plant>,0.33,1/1
food,otchodainchckhy<$>,0.33,1/1
food,dcho!kchyscholdysheydarqoty<-><!plant>ykeeyky,0.33,1/1
food,oeeencheyteorcheytchyky<-><!plant>chodalg,0.33,1/1
food,sodychodyotchodyqotchykoiinsy<-><!plant>sho!tydy,0.33,1/1
food,sodaiinchykchykchyykeody<$><!plant>,0.33,1/1
food,kcheolcheorsheossheeyteeyd!o!<-><!plant>shosoct<!@T>!y,0.33,1/1
