voynich_word,target_word,target_type,distance,similarity
da,da,Latin,0,1.0
dam,dam,Latin,0,1.0
dolor,dolor,Latin,0,1.0
herba,herba,Latin,0,1.0
m,m,Abbrev (m/n),0,1.0
os,os,Latin,0,1.0
sol,sol,Latin,0,1.0
x,x,Abbrev (christ/decem),0,1.0
chalor,calor,Latin,1,0.83
chepar,hepar,Latin,1,0.83
dolory,dolor,Latin,1,0.83
herba,herbae,Latin,1,0.83
herba,herbam,Latin,1,0.83
plane,planet,Latin,1,0.83
plant,planet,Latin,1,0.83
alor,calor,Latin,1,0.8
chepa,cepa,Latin,1,0.8
chlor,calor,Latin,1,0.8
chram,curam,Latin,1,0.8
come,comae,Latin,1,0.8
dalor,calor,Latin,1,0.8
dalor,dolor,Latin,1,0.8
dolar,dolor,Latin,1,0.8
dolol,dolor,Latin,1,0.8
epar,hepar,Latin,1,0.8
hear,hepar,Latin,1,0.8
leves,levis,Latin,1,0.8
odare,dare,Latin,1,0.8
olor,dolor,Latin,1,0.8
oram,horam,Latin,1,0.8
rodam,rosam,Latin,1,0.8
tedo,tendo,Latin,1,0.8
adam,dam,Latin,1,0.75
aii,apii,Latin,1,0.75
cdam,dam,Latin,1,0.75
choltam,choleram,Latin,2,0.75
chor,cor,Latin,1,0.75
chpa,cepa,Latin,1,0.75
come,coma,Latin,1,0.75
csol,sol,Latin,1,0.75
daim,dam,Latin,1,0.75
dalm,dam,Latin,1,0.75
damo,dam,Latin,1,0.75
dar,dare,Latin,1,0.75
dard,dare,Latin,1,0.75
dary,dare,Latin,1,0.75
dein,dei,Latin,1,0.75
deir,dei,Latin,1,0.75
dkam,dam,Latin,1,0.75
edes,ede,Latin,1,0.75
hory,hora,Latin,1,0.75
los,flos,Latin,1,0.75
odam,dam,Latin,1,0.75
olos,flos,Latin,1,0.75
san,sana,Latin,1,0.75
scor,cor,Latin,1,0.75
shea,rhea,Latin,1,0.75
shol,sol,Latin,1,0.75
soly,sol,Latin,1,0.75
thre,tere,Latin,1,0.75
chdalor,calor,Latin,2,0.71
chealor,calor,Latin,2,0.71
choer,cholera,Latin,2,0.71
chokeea,cholera,Latin,2,0.71
cholar,cholera,Latin,2,0.71
cholety,cholera,Latin,2,0.71
cholor,cholera,Latin,2,0.71
choltam,costam,Latin,2,0.71
lanes,glandes,Latin,2,0.71
air,aer,Latin,1,0.67
alaiin,allii,Latin,2,0.67
am,dam,Latin,1,0.67
aol,sol,Latin,1,0.67
ar,aer,Latin,1,0.67
araiin,arabis,Latin,2,0.67
charam,curam,Latin,2,0.67
charam,horam,Latin,2,0.67
chedam,cepam,Latin,2,0.67
chedar,hepar,Latin,2,0.67
chekar,hepar,Latin,2,0.67
chelal,caela,Latin,2,0.67
cheoar,hepar,Latin,2,0.67
chepar,cepa,Latin,2,0.67
chepar,cepae,Latin,2,0.67
chepar,cepam,Latin,2,0.67
chetar,hepar,Latin,2,0.67
chodam,comam,Latin,2,0.67
chodam,horam,Latin,2,0.67
chokam,comam,Latin,2,0.67
chokam,horam,Latin,2,0.67
cholor,calor,Latin,2,0.67
cholor,dolor,Latin,2,0.67
chotam,comam,Latin,2,0.67
chotam,costam,Latin,2,0.67
chotam,horam,Latin,2,0.67
chr,cor,Latin,1,0.67
da,dae,Latin,1,0.67
da,dam,Latin,1,0.67
dai,da,Latin,1,0.67
dai,dae,Latin,1,0.67
dai,dam,Latin,1,0.67
dai,dei,Latin,1,0.67
dal,da,Latin,1,0.67
dal,dae,Latin,1,0.67
