voynich_word,profile,candidates,confidence
chol,Generic Herb,Generic,Low
chey,Generic Herb,Generic,Low
or,Generic Herb,Generic,Low
chor,Generic Herb,Generic,Low
otaiin,Generic Herb,Generic,Low
okeey,Generic Herb,Generic,Low
qol,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
dain,Generic Herb,Generic,Low
chckhy,Generic Herb,Generic,Low
chdy,Generic Herb,Generic,Low
okal,Generic Herb,Generic,Low
otal,Generic Herb,Generic,Low
chy,Generic Herb,Generic,Low
okar,Generic Herb,Generic,Low
okedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
lchedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oty,Generic Herb,Generic,Low
okeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
okain,Generic Herb,Generic,Low
y,Generic Herb,Generic,Low
qokol,Generic Herb,Generic,Low
cheor,Generic Herb,Generic,Low
chody,Generic Herb,Generic,Low
oky,Generic Herb,Generic,Low
kaiin,Generic Herb,Generic,Low
chcthy,Generic Herb,Generic,Low
cheody,Generic Herb,Generic,Low
char,Generic Herb,Generic,Low
qokchy,Generic Herb,Generic,Low
okol,Generic Herb,Generic,Low
dor,Generic Herb,Generic,Low
cheky,Generic Herb,Generic,Low
okeol,Generic Herb,Generic,Low
odaiin,Generic Herb,Generic,Low
cho,Generic Herb,Generic,Low
chear,Generic Herb,Generic,Low
oly,Generic Herb,Generic,Low
olkeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
qodaiin,Generic Herb,Generic,Low
chaiin,Generic Herb,Generic,Low
chal,Generic Herb,Generic,Low
oraiin,Generic Herb,Generic,Low
otam,Generic Herb,Generic,Low
lkeedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chodaiin,Generic Herb,Generic,Low
oteol,Generic Herb,Generic,Low
ody,Generic Herb,Generic,Low
choky,Generic Herb,Generic,Low
choty,Generic Herb,Generic,Low
chos,Generic Herb,Generic,Low
okchy,Generic Herb,Generic,Low
checthy,Generic Herb,Generic,Low
lkar,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
kain,Generic Herb,Generic,Low
dchy,Generic Herb,Generic,Low
otchedy,Generic Herb,Generic,Low
oaiin,Generic Herb,Generic,Low
dchedy,Generic Herb,Generic,Low
otchdy,Generic Herb,Generic,Low
tchy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okam,Generic Herb,Generic,Low
yty,Generic Herb,Generic,Low
qoaiin,Generic Herb,Generic,Low
okchedy,Generic Herb,Generic,Low
odar,Generic Herb,Generic,Low
chety,Generic Herb,Generic,Low
tal,Generic Herb,Generic,Low
os,Generic Herb,Generic,Low
qor,Generic Herb,Generic,Low
okair,Generic Herb,Generic,Low
okchdy,Generic Herb,Generic,Low
okeeey,Generic Herb,Generic,Low
oiin,Generic Herb,Generic,Low
chl,Generic Herb,Generic,Low
kor,Generic Herb,Generic,Low
okeor,Generic Herb,Generic,Low
kchedy,Generic Herb,Generic,Low
chkaiin,Generic Herb,Generic,Low
chdal,Generic Herb,Generic,Low
olkar,Generic Herb,Generic,Low
shed,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
kchdy,Generic Herb,Generic,Low
okai?n,Generic Herb,Generic,Low
oldy,Generic Herb,Generic,Low
chocthy,Generic Herb,Generic,Low
chky,Generic Herb,Generic,Low
ols,Generic Herb,Generic,Low
otchor,Generic Herb,Generic,Low
okaly,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
chockhy,Generic Herb,Generic,Low
otai?n,Generic Herb,Generic,Low
cham,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okody,Generic Herb,Generic,Low
om,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
