word,total_count,entropy,max_possible_entropy,dominant_scope,classification,existing_domain
daiin,761,2.55,2.81,Herbal,Global Keyword,mining
ol,438,2.36,2.81,Bio,Global Keyword,mining
chol,431,2.42,2.81,Herbal,Global Keyword,mining
chedy,431,1.54,2.81,Bio,Mixed,mining
shedy,384,1.49,2.81,Bio,Mixed,other
aiin,328,2.47,2.81,Recipes,Global Keyword,mining
chey,308,2.69,2.81,Astro,Global Keyword,mining
qokeedy,290,1.14,2.81,Bio,Mixed,unknown
or,279,2.63,2.81,Pharma,Global Keyword,mining
qokeey,270,2.13,2.81,Recipes,Global Keyword,recipe
chor,258,2.09,2.81,Herbal,Global Keyword,mining
ar,252,2.10,2.81,Astro,Global Keyword,botanical
qokedy,250,1.27,2.81,Bio,Mixed,bio_recipe
shey,238,2.67,2.81,Bio,Global Keyword,mining
dar,236,2.71,2.81,Astro,Global Keyword,astronomical
qokaiin,233,2.11,2.81,Bio,Global Keyword,other
al,195,1.80,2.81,Astro,Mixed,mining
shol,193,2.31,2.81,Herbal,Global Keyword,recipe/chemistry
qokai!n,190,0.95,2.81,Bio,Mixed,unknown
okaiin,181,2.66,2.81,Recipes,Global Keyword,mining
dy,180,2.59,2.81,Astro,Global Keyword,mining
dal,160,2.60,2.81,Astro,Global Keyword,mining
chy,151,2.38,2.81,Herbal,Global Keyword,mining
cheey,148,2.57,2.81,Recipes,Global Keyword,grammar
qokal,147,1.27,2.81,Bio,Mixed,mining
okeey,145,2.31,2.81,Recipes,Global Keyword,mining
qol,143,1.01,2.81,Bio,Local Variable (Bio),unknown
sho,142,2.16,2.81,Herbal,Global Keyword,recipe_action
cheol,138,2.50,2.81,Pharma,Global Keyword,medical
otaiin,134,2.65,2.81,Recipes,Global Keyword,mining
otedy,132,2.06,2.81,Bio,Global Keyword,unknown
cthy,131,1.89,2.81,Herbal,Mixed,grammar
qoky,122,2.40,2.81,Bio,Global Keyword,grammar
chckhy,120,2.44,2.81,Bio,Global Keyword,mining
sheey,115,2.68,2.81,Bio,Global Keyword,grammar
shor,109,2.33,2.81,Herbal,Global Keyword,botanical
qokar,108,1.89,2.81,Bio,Mixed,grammar
chdy,103,2.38,2.81,Astro,Global Keyword,mining
shy,101,2.46,2.81,Herbal,Global Keyword,grammar
dol,101,2.39,2.81,Pharma,Global Keyword,astronomical
okedy,101,2.06,2.81,Bio,Global Keyword,mining
otar,100,2.35,2.81,Astro,Global Keyword,medical
okal,100,2.71,2.81,Astro,Global Keyword,mining
lchedy,100,1.06,2.81,Bio,Mixed,botanical
oteey,99,1.91,2.81,Astro,Mixed,grammar
otal,99,2.37,2.81,Astro,Global Keyword,mining
qokol,97,2.62,2.81,Pharma,Global Keyword,unknown
oty,97,2.66,2.81,Astro,Global Keyword,mining
okeedy,97,1.77,2.81,Bio,Mixed,mining
saiin,96,2.51,2.81,Bio,Global Keyword,element
dai!n,95,1.91,2.81,Recipes,Mixed,unknown
okar,93,2.49,2.81,Astro,Global Keyword,mining
dain,92,1.91,2.81,Herbal,Mixed,unknown
okai!n,91,1.22,2.81,Recipes,Mixed,unknown
qokey,90,1.89,2.81,Bio,Mixed,grammar
cheor,84,2.61,2.81,Pharma,Global Keyword,mining
qotedy,84,1.37,2.81,Bio,Mixed,medical
qotchy,83,2.02,2.81,Herbal,Global Keyword,medical
qokchy,83,2.03,2.81,Herbal,Global Keyword,unknown
dor,82,2.27,2.81,Herbal,Global Keyword,unknown
oteedy,82,1.08,2.81,Recipes,Mixed,botanical
dair,78,2.57,2.81,Astro,Global Keyword,astronomical
sheol,78,2.25,2.81,Pharma,Global Keyword,medical
qoty,77,2.49,2.81,Bio,Global Keyword,grammar
otol,76,2.56,2.81,Astro,Global Keyword,unknown
char,75,2.55,2.81,Astro,Global Keyword,mining
oky,74,2.64,2.81,Astro,Global Keyword,mining
sheedy,74,1.44,2.81,Bio,Mixed,medical
chcthy,73,2.45,2.81,Bio,Global Keyword,mining
qoteedy,72,1.57,2.81,Bio,Mixed,medical
chody,71,2.27,2.81,Pharma,Global Keyword,mining
cthol,68,1.99,2.81,Herbal,Mixed,other
cho,66,2.49,2.81,Astro,Global Keyword,mining
okol,65,2.47,2.81,Pharma,Global Keyword,mining
otai!n,65,1.41,2.81,Recipes,Mixed,unknown
kaiin,64,2.51,2.81,Recipes,Global Keyword,unknown
cthor,64,1.53,2.81,Herbal,Mixed,botanical
qokain,64,0.79,2.81,Bio,Local Variable (Bio),other
qotaiin,63,2.03,2.81,Recipes,Global Keyword,grammar
otchy,59,2.26,2.81,Herbal,Global Keyword,medical
dam,54,2.40,2.81,Herbal_B,Global Keyword,medical
