page,loc,label,frequency
f67r1,f67r1.8,otaldy,1
f67r1,f67r1.9,otoky,1
f67r1,f67r1.10,seeoa!r,1
f67r1,f67r1.11,yka!s,1
f67r1,f67r1.11,asa,1
f67r1,f67r1.12,sosaiir,1
f67r1,f67r1.13,oteey,5
f67r1,f67r1.13,dar,9
f67r1,f67r1.14,yto,2
f67r1,f67r1.14,daiir,2
f67r1,f67r1.15,sheosam,1
f67r1,f67r1.16,ykeeody,2
f67r1,f67r1.17,okeol,4
f67r1,f67r1.17,sal,2
f67r1,f67r1.18,okeey,6
f67r1,f67r1.18,sar,5
f67r1,f67r1.19,dalary,1
f67r2,"f67r2.12,&L0",ykchs,1
f67r2,"f67r2.12,&L0",ykchos,1
f67r2,f67r2.1,ykchyr,1
f67r2,f67r2.1,aram,1
f67r2,"f67r2.2,&L0",ykecho,1
f67r2,"f67r2.2,&L0",ols,2
f67r2,"f67r2.2,&L0",eesy!dy,1
f67r2,"f67r2.3,&L0",soy,1
f67r2,"f67r2.3,&L0",shr,1
f67r2,"f67r2.3,&L0",okar,5
f67r2,"f67r2.4,&L0",shekchy,1
f67r2,"f67r2.4,&L0",ykor,2
f67r2,"f67r2.5,&L0",ykeody,3
f67r2,"f67r2.5,&L0",okchy,4
f67r2,"f67r2.6,&L0",dchetdy,1
f67r2,"f67r2.7,&L0",rfchykchey,1
f67r2,"f67r2.7,&L0",ykchys,1
f67r2,"f67r2.8,&L0",chkch!!!dar,1
f67r2,"f67r2.9,&L0",ykar,1
f67r2,"f67r2.9,&L0",ykaly,1
f67r2,"f67r2.10,&L0",lkshykchy,1
f67r2,"f67r2.10,&L0",okar,5
f67r2,"f67r2.11,&L0",chky,1
f67r2,"f67r2.11,&L0",chykchr,1
f67r2,"f67r2.11,&L0",chy,3
f67r2,f67r2.48,todaiin,1
f67r2,f67r2.48,dain,1
f67r2,f67r2.48,dy,13
f67r2,f67r2.49,orchoer,1
f67r2,f67r2.49,aiin,8
f67r2,f67r2.50,choeey,1
f67r2,f67r2.50,s!ar,2
f67r2,f67r2.51,dacsa?ry?<$>,1
f67r2,f67r2.13,opodchol,1
f67r2,f67r2.13,d!ain,1
f67r2,f67r2.13,aldy,1
f67r2,f67r2.14,sochy,1
f67r2,f67r2.14,doiin,1
f67r2,f67r2.14,oldy<$>,1
f67r2,f67r2.16,odaii!n,1
f67r2,f67r2.16,otocs,1
f67r2,f67r2.16,oekain,1
f67r2,f67r2.16,y,4
f67r2,f67r2.17,otchoy,1
f67r2,f67r2.17,so!raiis,1
f67r2,f67r2.17,dy,13
f67r2,f67r2.18,qofchy,1
f67r2,f67r2.18,daiin,14
f67r2,f67r2.18,dal<$>,1
f67r2,f67r2.19,ydchos,1
f67r2,f67r2.19,ain,1
f67r2,f67r2.19,ar,16
f67r2,f67r2.19,amy,1
f67r2,f67r2.20,chocfhy,1
f67r2,f67r2.20,saral,1
f67r2,f67r2.21,rain,1
f67r2,f67r2.21,am,8
f67r2,f67r2.21,or<$>,2
f67r2,f67r2.23,eoporchy,1
f67r2,f67r2.23,salsoiin,1
f67r2,f67r2.24,sodar,1
f67r2,f67r2.24,ofor,1
f67r2,f67r2.24,ar,16
f67r2,f67r2.25,ydag<$>,1
f67r2,f67r2.26,yteoor,1
f67r2,f67r2.26,yto,2
f67r2,f67r2.26,ykor,2
f67r2,f67r2.27,okeo!r,1
f67r2,f67r2.27,aiin,8
f67r2,f67r2.27,am<$>,1
f67r2,f67r2.29,ytody,2
f67r2,f67r2.29,s!aiin,1
f67r2,f67r2.30,ochol,2
f67r2,f67r2.30,olol<$>,1
f67r2,f67r2.32,dorar,1
f67r2,f67r2.32,odar,1
f67r2,f67r2.32,ais,1
f67r2,f67r2.32,aloiin,1
f67r2,f67r2.33,dakan,1
f67r2,f67r2.33,osar,2
f67r2,f67r2.33,odal<$>,1
f67r2,f67r2.35,chol,4
f67r2,f67r2.35,daiin,14
f67r2,f67r2.35,okol,3
f67r2,f67r2.36,ytor,1
f67r2,f67r2.36,daiin,14
f67r2,f67r2.36,or<$>,2
f67r2,f67r2.38,otoldos,1
f67r2,f67r2.38,octhole,1
f67r2,f67r2.39,sor,1
f67r2,f67r2.39,chedaiin,1
f67r2,f67r2.39,dy,13
f67r2,f67r2.40,yteos,1
f67r2,f67r2.40,oiin,1
f67r2,f67r2.40,om<$>,1
f67r2,f67r2.41,ytoeopchey,1
f67r2,f67r2.41,chekody,1
f67r2,f67r2.42,soshe,1
f67r2,f67r2.42,chos,1
f67r2,f67r2.42,ockhy,2
f67r2,f67r2.43,daiin,14
f67r2,f67r2.43,aiin,8
f67r2,f67r2.43,os,3
f67r2,f67r2.43,yrl<$>,1
f67r2,f67r2.44,ofydy,1
f67r2,f67r2.44,sheody,1
f67r2,f67r2.44,aiin,8
f67r2,f67r2.45,ycheody,1
f67r2,f67r2.45,es,1
f67r2,f67r2.45,odaiiin,1
f67r2,f67r2.46,yekees,1
f67r2,f67r2.46,oraly<$>,1
f67r2,f67r2.15,dylchsody,1
f67r2,f67r2.22,okal,5
f67r2,f67r2.28,okain,1
f67r2,f67r2.28,am,8
f67r2,f67r2.31,opchol!dy,1
f67r2,f67r2.34,dfar,1
f67r2,f67r2.34,oeolda!n,1
f67r2,f67r2.37,ytoaiin,1
f67r2,f67r2.47,yfain,1
f67r2,"f67r2.63,&Ls",okadar,1
f67r2,f67r2.52,qotoear,1
f67r2,"f67r2.53,&Ls",dchodar,1
f67r2,"f67r2.54,&Ls",ysaldal,1
f67r2,"f67r2.55,&Ls",ytodal,1
f67r2,"f67r2.56,&Ls",tol,1
f67r2,"f67r2.56,&Ls",daiin,14
f67r2,"f67r2.57,&Ls",otardy,1
f67r2,"f67r2.58,&Ls",chodalg,1
f67r2,"f67r2.59,&Ls",ytchodyy,1
f67r2,"f67r2.60,&Ls",octhys,1
f67r2,"f67r2.61,&Ls",ytokar,1
f67r2,"f67r2.62,&Ls",otolor,1
f67r2,f67r2.64,s,5
f67r2,f67r2.64,air,3
f67r2,"f67r2.65,&L0",so!eor,1
f67r2,"f67r2.66,&L0",cpheey,1
f67r2,"f67r2.67,&L0",okodas,1
f67r2,"f67r2.68,&L0",oepcho!l,1
f67r2,"f67r2.69,&L0",s!acthhy,1
f67r2,"f67r2.70,&L0",osar,2
f67r2,"f67r2.71,&L0",oran,1
f67v2,f67v2.2,otararain,1
f67v2,f67v2.22,okchos!am,1
f67v2,f67v2.4,daiin,14
f67v2,f67v2.4,taedaiin,1
f67v2,f67v2.4,or,7
f67v2,f67v2.4,okor<$>,1
f67v2,f67v2.5,okeey,6
f67v2,f67v2.5,keoy,1
f67v2,f67v2.5,osalal,1
f67v2,f67v2.6,ykyral,1
f67v2,f67v2.6,am,8
f67v2,f67v2.6,oralady,1
f67v2,f67v2.6,odam<$>,1
f67v2,f67v2.7,toal,1
f67v2,f67v2.7,daim,1
f67v2,f67v2.7,sakar,1
f67v2,f67v2.7,dam,3
f67v2,f67v2.8,solair,1
f67v2,f67v2.8,cfhey,1
f67v2,f67v2.8,solal,1
f67v2,f67v2.8,daly<$>,1
f67v2,f67v2.9,okeol,4
f67v2,f67v2.9,chol,4
f67v2,f67v2.9,ar,16
f67v2,f67v2.9,okol,3
f67v2,f67v2.9,dam,3
f67v2,f67v2.10,koaiin,1
f67v2,f67v2.10,ofyl,1
f67v2,f67v2.10,ol,2
f67v2,f67v2.10,ofalaiin,1
f67v2,f67v2.10,oar<$>,1
f67v2,f67v2.18,o?eeey,1
f67v2,f67v2.18,oekchdy,1
f67v2,f67v2.12,oeola,1
f67v2,f67v2.12,les,1
f67v2,f67v2.12,airar,1
f67v2,f67v2.14,oar,2
f67v2,f67v2.14,ykalo,1
f67v2,f67v2.14,char,3
f67v2,f67v2.16,okar!alet,1
f67v2,f67v2.16,olkao,1
f67v2,f67v2.13,okydseog,1
f67v2,f67v2.13,oa!foaly,1
f67v2,f67v2.15,ocs,1
f67v2,f67v2.15,ekais,1
f67v2,f67v2.15,okolarm,1
f67v2,f67v2.17,qokoaiis,1
f67v2,f67v2.17,ocfhhy,1
f67v2,f67v2.11,dcsesor,1
f67v2,f67v2.11,ochepalain,1
f67v2,f67v2.19,soaiin<-><!plant>dalam,1
f67v2,f67v2.20,sory<-><!plant>okoral,1
f67v1,"f67v1.6,&L0",dch?sy!kchy,1
f67v1,"f67v1.7,&L0",ykeodar,1
f67v1,"f67v1.8,&L0",dechoe!kol,1
f67v1,"f67v1.9,&L0",ockh!o!sam,1
f67v1,"f67v1.10,&L0",kochar!dy,1
f67v1,"f67v1.11,&L0",ochodare,1
f67v1,"f67v1.12,&L0",ols,2
f67v1,"f67v1.12,&L0",aiin!y,1
f67v1,f67v1.1,damam!m,1
f67v1,"f67v1.2,&L0",dairkal,1
f67v1,"f67v1.3,&L0",okal,5
f67v1,"f67v1.3,&L0",ary,5
f67v1,"f67v1.4,&L0",dor,1
f67v1,"f67v1.4,&L0",echkolal,1
f67v1,"f67v1.5,&L0",okol!aldy,1
f67v1,f67v1.21,yko!o,1
f67v1,f67v1.21,cheo,1
f67v1,f67v1.21,daiin,14
f67v1,f67v1.21,ypcheg,1
f67v1,f67v1.21,oty,3
f67v1,f67v1.22,opcheey,1
f67v1,f67v1.22,chso,1
f67v1,f67v1.22,cheey,2
f67v1,f67v1.22,chedaly,1
f67v1,f67v1.24,osheey,1
f67v1,f67v1.24,keeody,1
f67v1,f67v1.24,che,1
f67v1,f67v1.24,dals,1
f67v1,f67v1.25,okor,1
f67v1,f67v1.25,shey,1
f67v1,f67v1.25,qokcheor,1
f67v1,f67v1.25,doii!r,1
f67v1,f67v1.26,oeees,3
f67v1,f67v1.26,otechy,1
f67v1,f67v1.26,o!keey,1
f67v1,f67v1.28,oksheeoda,1
f67v1,f67v1.28,or,7
f67v1,f67v1.28,aral,1
f67v1,f67v1.29,olar,1
f67v1,f67v1.29,aroka,1
f67v1,f67v1.13,otorkeol,1
f67v1,f67v1.13,or,7
f67v1,f67v1.13,cheey,2
f67v1,f67v1.13,dary,2
f67v1,f67v1.14,okechey,1
f67v1,f67v1.14,cheody,3
f67v1,f67v1.14,eoky,1
f67v1,f67v1.15,otechodor,1
f67v1,f67v1.15,o!dreeey,1
f67v1,f67v1.16,chockhdy,1
f67v1,f67v1.16,cheockhy,1
f67v1,f67v1.17,ytchoy,1
f67v1,f67v1.17,kchochy,1
f67v1,f67v1.17,dair,4
f67v1,f67v1.17,oekey,1
f67v1,f67v1.18,kchcsey,1
f67v1,f67v1.18,chy,3
f67v1,f67v1.18,koldy,1
f68r1,f68r1.4,dchor,1
f68r1,f68r1.4,okaii!n<$>,1
f68r1,f68r1.5,yky,3
f68r1,f68r1.6,dary,2
f68r1,f68r1.7,chkchykoly<$>,1
f68r1,f68r1.12,chocphy,1
f68r1,f68r1.17,cphocthy,1
f68r1,f68r1.36,dolchedy,1
f68r1,f68r1.21,ockhy,2
f68r1,f68r1.31,ocphy,1
f68r1,f68r1.13,octhey,1
f68r1,f68r1.10,otcheody,1
f68r1,f68r1.9,odchecthy,1
f68r1,f68r1.22,ofcheor,1
f68r1,f68r1.27,oiin!ar,1
f68r1,f68r1.16,okeor,1
f68r1,f68r1.32,okeeodal,1
f68r1,f68r1.11,okoaly,1
f68r1,f68r1.28,okoldy,1
f68r1,f68r1.33,okshor,1
f68r1,f68r1.20,olor,1
f68r1,f68r1.34,or!daiin,1
f68r1,f68r1.23,otcsdo,1
f68r1,f68r1.35,otochedy,1
f68r1,f68r1.8,okodaly,1
f68r1,f68r1.25,otol,4
f68r1,f68r1.26,otor,1
f68r1,f68r1.14,otcsey,1
f68r1,f68r1.15,otydy,1
f68r1,f68r1.24,otykchs,1
f68r1,f68r1.19,otys,1
f68r1,f68r1.30,toeeodcthy,1
f68r1,f68r1.29,ykchdy,1
f68r1,f68r1.18,ytchody,1
f68r1,f68r1.37,oky,6
f68r1,f68r1.37,oka!dy,1
f68r1,f68r1.37,okardy,1
f68r1,f68r1.37,q?aear,1
f68r1,f68r1.37,oldy,1
f68r2,f68r2.7,otolchcthy,1
f68r2,f68r2.8,cheo!rol,1
f68r2,f68r2.9,odaiin,1
f68r2,f68r2.10,ochory,1
f68r2,f68r2.11,shdar,1
f68r2,f68r2.12,dchol,2
f68r2,f68r2.13,todaraiil!y,1
f68r2,f68r2.14,olcheesey,1
f68r2,f68r2.15,okchor,1
f68r2,f68r2.16,oteool,1
f68r2,f68r2.17,oydchy,1
f68r2,f68r2.19,cholar,1
f68r2,f68r2.18,okcheody,1
f68r2,f68r2.20,dcheoldy,1
f68r2,f68r2.21,oteeeo!r,1
f68r2,f68r2.22,etocho,1
f68r2,f68r2.23,ofchsody,1
f68r2,f68r2.24,otcheodar,1
f68r2,f68r2.25,odai!r,1
f68r2,f68r2.25,chol,4
f68r2,f68r2.26,opocphor,1
f68r2,f68r2.27,otoshol,1
f68r2,f68r2.28,chodar,1
f68r2,f68r2.29,shchy,1
f68r2,f68r2.30,okeechor,1
f68r3,f68r3.9,dchey,1
f68r3,f68r3.9,qokeey,1
f68r3,f68r3.9,dcheey,1
f68r3,f68r3.9,daiir,2
f68r3,f68r3.9,otchal,1
f68r3,f68r3.3,toees,1
f68r3,f68r3.3,ch!cphy,1
f68r3,f68r3.3,qokchdy,1
f68r3,f68r3.3,dol,1
f68r3,f68r3.3,okyld,1
f68r3,f68r3.8,kchoty,1
f68r3,f68r3.8,oteey,5
f68r3,f68r3.8,daiin,14
f68r3,f68r3.8,dcheeody,1
f68r3,f68r3.8,oteey,5
f68r3,f68r3.11,doaro,1
f68r3,f68r3.12,oalcheol,1
f68r3,f68r3.10,dchol,2
f68r3,f68r3.10,dal,6
f68r3,f68r3.14,otory<!crease>,1
f68r3,f68r3.13,okos,1
f68r3,f68r3.17,okolchy,1
f68r3,f68r3.16,a,1
f68r3,f68r3.16,<!crease>cphy,1
f68r3,f68r3.15,chdy,4
f68r3,f68r3.15,yky,3
f68r3,f68r3.20,darall,1
f68r3,f68r3.18,o,3
f68r3,f68r3.18,cthyd,1
f68r3,f68r3.21,okchoda,1
f68r3,f68r3.19,oty!dm,1
f68v3,f68v3.7,r,1
f68v3,f68v3.7,al,8
f68v3,f68v3.7,chdail,1
f68v3,f68v3.7,schekol,1
f68v3,f68v3.7,okeody,7
f68v3,f68v3.13,ydaiil,1
f68v3,f68v3.13,ol,2
f68v3,f68v3.13,chok,1
f68v3,f68v3.13,okchyd,1
f68v3,f68v3.15,otodol,1
f68v3,f68v3.16,opcholdg,1
f68v3,f68v3.17,doar,1
f68v3,f68v3.17,ykeol,1
f68v3,f68v3.17,darol,1
f68v3,f68v3.17,daly,1
f68v3,f68v3.18,solaiin,1
f68v3,f68v3.18,ckhhy,1
f68v3,f68v3.18,olekeey,1
f68v3,f68v3.18,dy,13
f68v2,f68v2.18,choteey,1
f68v2,f68v2.18,daro,1
f68v2,f68v2.7,otey,2
f68v2,f68v2.7,dala!r,1
f68v2,f68v2.9,yshesos,1
f68v2,f68v2.9,ar,16
f68v2,f68v2.9,shy,2
f68v2,f68v2.10,socth!s,1
f68v2,f68v2.10,chety,1
f68v2,f68v2.12,yteody,3
f68v2,f68v2.12,chetey,1
f68v2,f68v2.13,otchos,1
f68v2,f68v2.13,alamchy,1
f68v2,f68v2.15,adair!chdy,1
f68v2,f68v2.15,aiin,8
f68v2,f68v2.16,dchedal,1
f68v2,f68v2.16,daiin,14
f68v2,f68v2.17,y!keeepol<-><!star>y!pchy,1
f68v2,f68v2.8,otosey<-><!star>sa!!!ry,1
f68v2,f68v2.11,oteoys<-><!star>orasaly,1
f68v2,f68v2.14,otchdy<-><!star>chetal,1
f68v1,f68v1.3,dair,4
f68v1,f68v1.3,cpche!ty,1
f68v1,f68v1.3,dy,13
f68v1,f68v1.4,sair,2
f68v1,f68v1.4,arolsas,1
f68v1,f68v1.5,oteeos,1
f68v1,f68v1.5,araly,1
