folio,index,color
f103r,1,Red
f103r,2,Yellow
f103r,3,Red
f103r,4,Yellow
f103r,5,Red
f103r,6,Yellow
f103r,7,Red
f103r,8,Yellow
f103r,9,Red
f103r,10,Yellow
f103r,11,Red
f103r,12,Yellow
f103r,13,Red
f103r,14,Yellow
f103r,15,Red
f103r,16,Yellow
f103r,17,Red
f103r,18,Yellow
f103r,19,Red
f103v,1,Red
f103v,2,Yellow
f103v,3,Red
f103v,4,Yellow
f103v,5,Red
f103v,6,Yellow
f103v,7,Red
f103v,8,Yellow
f103v,9,Red
f103v,10,Yellow
f103v,11,Red
f103v,12,Yellow
f103v,13,Red
f103v,14,Yellow
f104r,1,Red
f104r,2,Yellow
f104r,3,Red
f104r,4,Yellow
f104r,5,Red
f104r,6,Yellow
f104r,7,Red
f104r,8,Yellow
f104r,9,Red
f104r,10,Yellow
f104r,11,Red
f104r,12,Yellow
f104r,13,Red
f104v,1,Red
f104v,2,Yellow
f104v,3,Red
f104v,4,Yellow
f104v,5,Red
f104v,6,Yellow
f104v,7,Red
f104v,8,Yellow
f104v,9,Red
f104v,10,Yellow
f104v,11,Red
f104v,12,Yellow
f104v,13,Red
f105r,1,Red
f105r,2,Yellow
f105r,3,Red
f105r,4,Yellow
f105r,5,Red
f105r,6,Yellow
f105r,7,Red
f105r,8,Yellow
f105r,9,Red
f105r,10,Yellow
f105v,1,Red
f105v,2,Yellow
f105v,3,Red
f105v,4,Yellow
f105v,5,Red
f105v,6,Yellow
f105v,7,Red
f105v,8,Yellow
f105v,9,Red
f105v,10,Yellow
f106r,1,Red
f106r,2,Yellow
f106r,3,Red
f106r,4,Yellow
f106r,5,Red
f106r,6,Yellow
f106r,7,Red
f106r,8,Yellow
f106r,9,Red
f106r,10,Yellow
f106r,11,Red
f106r,12,Yellow
f106r,13,Red
f106r,14,Yellow
f106r,15,Red
f106v,1,Red
f106v,2,Yellow
f106v,3,Red
f106v,4,Yellow
f106v,5,Red
f106v,6,Yellow
f106v,7,Red
f106v,8,Yellow
f106v,9,Red
f106v,10,Yellow
f106v,11,Red
f106v,12,Yellow
f106v,13,Red
f106v,14,Yellow
f107r,1,Red
f107r,2,Yellow
f107r,3,Red
f107r,4,Yellow
f107r,5,Red
f107r,6,Yellow
f107r,7,Red
f107r,8,Yellow
f107r,9,Red
f107r,10,Yellow
f107r,11,Red
f107r,12,Yellow
f107r,13,Red
f107r,14,Yellow
f107r,15,Red
f107v,1,Red
f107v,2,Yellow
f107v,3,Red
f107v,4,Yellow
f107v,5,Red
f107v,6,Yellow
f107v,7,Red
f107v,8,Yellow
f107v,9,Red
f107v,10,Yellow
f107v,11,Red
f107v,12,Yellow
f107v,13,Red
f107v,14,Yellow
f107v,15,Red
f108r,1,Red
f108r,2,Yellow
f108r,3,Red
f108r,4,Yellow
f108r,5,Red
f108r,6,Yellow
f108r,7,Red
f108r,8,Yellow
f108r,9,Red
f108r,10,Yellow
f108r,11,Red
f108r,12,Yellow
f108r,13,Red
f108r,14,Yellow
f108r,15,Red
f108r,16,Yellow
f108v,1,Red
f108v,2,Yellow
f108v,3,Red
f108v,4,Yellow
f108v,5,Red
f108v,6,Yellow
f108v,7,Red
f108v,8,Yellow
f108v,9,Red
f108v,10,Yellow
f108v,11,Red
f108v,12,Yellow
f108v,13,Red
f108v,14,Yellow
f108v,15,Red
f108v,16,Yellow
f111r,1,Red
f111r,2,Yellow
f111r,3,Red
f111r,4,Yellow
f111r,5,Red
f111r,6,Yellow
f111r,7,Red
f111r,8,Yellow
f111r,9,Red
f111r,10,Yellow
f111r,11,Red
f111r,12,Yellow
f111r,13,Red
f111r,14,Yellow
f111r,15,Red
f111r,16,Yellow
f111r,17,Red
f111v,1,Red
f111v,2,Yellow
f111v,3,Red
f111v,4,Yellow
f111v,5,Red
f111v,6,Yellow
f111v,7,Red
f111v,8,Yellow
f111v,9,Red
f111v,10,Yellow
f111v,11,Red
f111v,12,Yellow
f111v,13,Red
f111v,14,Yellow
f111v,15,Red
f111v,16,Yellow
f111v,17,Red
f111v,18,Yellow
f111v,19,Red
f112r,1,Red
f112r,2,Yellow
f112r,3,Red
f112r,4,Yellow
f112r,5,Red
f112r,6,Yellow
f112r,7,Red
f112r,8,Yellow
f112r,9,Red
f112r,10,Yellow
f112r,11,Red
f112r,12,Yellow
f112v,1,Red
f112v,2,Yellow
f112v,3,Red
f112v,4,Yellow
f112v,5,Red
f112v,6,Yellow
f112v,7,Red
f112v,8,Yellow
f112v,9,Red
f112v,10,Yellow
f112v,11,Red
f112v,12,Yellow
f112v,13,Red
f113r,1,Red
f113r,2,Yellow
f113r,3,Red
f113r,4,Yellow
f113r,5,Red
f113r,6,Yellow
f113r,7,Red
f113r,8,Yellow
f113r,9,Red
f113r,10,Yellow
f113r,11,Red
f113r,12,Yellow
f113r,13,Red
f113r,14,Yellow
f113r,15,Red
f113r,16,Yellow
f113v,1,Red
f113v,2,Yellow
f113v,3,Red
f113v,4,Yellow
f113v,5,Red
f113v,6,Yellow
f113v,7,Red
f113v,8,Yellow
f113v,9,Red
f113v,10,Yellow
f113v,11,Red
f113v,12,Yellow
f113v,13,Red
f113v,14,Yellow
f113v,15,Red
f114r,1,Red
f114r,2,Yellow
f114r,3,Red
f114r,4,Yellow
f114r,5,Red
f114r,6,Yellow
f114r,7,Red
f114r,8,Yellow
f114r,9,Red
f114r,10,Yellow
f114r,11,Red
f114r,12,Yellow
f114r,13,Red
f114v,1,Yellow
f114v,2,Red
f114v,3,Yellow
f114v,4,Red
f114v,5,Yellow
f114v,6,Red
f114v,7,Yellow
f114v,8,Red
f114v,9,Yellow
f114v,10,Red
f114v,11,Yellow
f114v,12,Red
f115r,1,Red
f115r,2,Yellow
f115r,3,Red
f115r,4,Yellow
f115r,5,Red
f115r,6,Yellow
f115r,7,Red
f115r,8,Yellow
f115r,9,Red
f115r,10,Yellow
f115r,11,Red
f115r,12,Yellow
f115r,13,Red
f115v,1,Red
f115v,2,Yellow
f115v,3,Red
f115v,4,Yellow
f115v,5,Red
f115v,6,Yellow
f115v,7,Red
f115v,8,Yellow
f115v,9,Red
f115v,10,Yellow
f115v,11,Red
f115v,12,Yellow
f115v,13,Red
f116r,1,Red
f116r,2,Yellow
f116r,3,Red
f116r,4,Yellow
f116r,5,Red
f116r,6,Yellow
f116r,7,Red
f116r,8,Yellow
f116r,9,Red
f116r,10,Yellow
f116v,1,Red
f116v,2,Yellow
f116v,3,Red
f116v,4,Yellow
f116v,5,Red
f116v,6,Yellow
f116v,7,Red
f116v,8,Yellow
f116v,9,Red
f116v,10,Yellow
f116v,11,Red
f116v,12,Yellow
f116v,13,Red
f116v,14,Yellow
f116v,15,Red
