Word,Frequency
s,197
r,90
l,53
d,39
lkai!n,29
qokeeey,26
qokam,24
daiir,22
qoeedy,20
sheal,19
ytedy,19
lshey,18
?,17
sheos,17
qokair,17
qopchdy,15
teol,15
qoeey,15
kair,14
ycheo,14
ror,14
otedar,14
yteody,13
qotchor,13
shky,13
lo,13
ral,13
lcheey,13
g,12
dcheey,12
ycheol,12
lr,12
shes,12
pchdy,11
ykeeody,11
qokeeol,11
olkal,11
yshey,10
qokshy,10
m,10
rchedy,10
qokeeor,10
shedal,10
ytchedy,10
fchedy,10
ytai!n,10
chkai!n,10
ycheor,9
shokchy,9
sheaiin,9
todaiin,9
shety,9
lkl,9
okeeedy,9
shedai!n,9
dsheey,8
paiin,8
dshy,8
qofchedy,8
qokedar,8
dchdy,8
s!ar,8
tshey,8
s!ai!n,8
lsheey,8
oteeey,8
tody,7
qoeeey,7
ykey,7
shcthey,7
keor,7
ysheey,7
qokees,7
ykeeo,7
schedy,7
qodal,7
alor,7
dcheol,7
s!or,7
oeedy,7
p!!!chedy,7
ycheedy,7
chekai!n,7
qolchey,7
lkey,7
lcheol,7
qockhol,7
qokeo,7
qodai!n,7
daiidy,6
ees,6
tshol,6
shoty,6
qokoiin,6
yteol,6
ypchdy,6
r!chey,6
rair,6
lchal,6
qolkeey,6
