word,count,status
qokeedy,301,Unknown
qokedy,263,Unknown
okaiin,205,Unknown
s,186,Unknown
qokal,182,Unknown
dain,181,Unknown
otedy,159,Unknown
qol,146,Unknown
okain,137,Unknown
otal,135,Unknown
okar,129,Unknown
saiin,128,Unknown
okedy,120,Unknown
qokol,103,Unknown
r,85,Unknown
otol,82,Unknown
chcthy,77,Generic
o,76,Unknown
air,74,Unknown
raiin,73,Unknown
dor,70,Unknown
qokchy,67,Unknown
sain,64,Unknown
kaiin,64,Unknown
sol,63,Unknown
cheo,63,Unknown
odaiin,61,Unknown
cho,60,Unknown
cheedy,59,Unknown
cthol,55,Generic
l,55,Unknown
keedy,53,Unknown
qokeol,49,Unknown
sal,49,Unknown
oly,46,Unknown
kain,46,Unknown
daiinplant,43,Unknown
lor,42,Generic
qodaiin,41,Unknown
tedy,41,Unknown
oteody,38,Unknown
oraiin,37,Unknown
d,37,Unknown
ches,36,Generic
chos,35,Unknown
okor,34,Unknown
ykar,33,Unknown
oiin,32,Unknown
chckhey,30,Generic
chedar,30,Generic
label,30,Unknown
aly,28,Generic
lkedy,28,Unknown
qotor,28,Unknown
yteedy,27,Unknown
otchdy,27,Unknown
dchy,27,Unknown
qokeeey,26,Unknown
orain,26,Unknown
okeeey,26,Unknown
ykeedy,26,Unknown
rain,26,Unknown
kor,25,Unknown
okam,25,Unknown
olkedy,25,Unknown
yteey,25,Unknown
dchedy,25,Unknown
daly,25,Generic
odar,24,Unknown
qotchedy,24,Unknown
okchdy,24,Unknown
oaiin,23,Unknown
qokeeo,23,Unknown
ycheey,23,Unknown
qotey,23,Unknown
aiir,23,Unknown
ary,23,Generic
qor,23,Unknown
yty,23,Unknown
okeor,22,Unknown
rar,22,Unknown
qokam,22,Unknown
okair,22,Unknown
daiir,22,Unknown
qoaiin,22,Unknown
olky,22,Generic
tchy,22,Unknown
qokeor,21,Unknown
kchedy,21,Unknown
ytedy,21,Unknown
om,21,Unknown
okaly,20,Generic
olshedy,20,Unknown
qoeedy,20,Unknown
teey,20,Unknown
shecthy,20,Unknown
dary,20,Generic
dchol,20,Unknown
ytchy,19,Unknown
sheal,19,Unknown
otaly,19,Generic
chedain,19,Unknown
rol,19,Unknown
olkar,19,Unknown
qotchey,19,Unknown
splant,19,Unknown
tal,19,Unknown
ory,18,Unknown
qockhy,18,Unknown
qockhey,18,Unknown
lshey,18,Unknown
shed,18,Unknown
dl,18,Unknown
chdal,18,Unknown
yky,18,Generic
okeeol,17,Unknown
okody,17,Unknown
sheos,17,Unknown
qokair,17,Unknown
oar,17,Unknown
chocthy,17,Unknown
qody,17,Unknown
lky,17,Unknown
chky,17,Unknown
cham,17,Generic
ytal,17,Unknown
ror,16,Unknown
cheeo,16,Unknown
lkchedy,16,Unknown
kchdy,16,Unknown
cthyplant,16,Unknown
dyplant,16,Unknown
orol,15,Unknown
teol,15,Unknown
qoeey,15,Unknown
sy,15,Generic
ycheo,15,Unknown
okeo,15,Unknown
okeeo,15,Unknown
qokeed,15,Unknown
tain,15,Unknown
qopchdy,15,Unknown
ral,15,Unknown
tchdy,15,Unknown
odal,15,Unknown
olol,15,Unknown
daiiin,14,Unknown
ycheol,14,Unknown
ykeody,14,Unknown
ychey,14,Unknown
dshey,14,Unknown
okeeody,14,Unknown
shal,14,Unknown
chokaiin,14,Unknown
aral,14,Unknown
kair,14,Unknown
otedar,14,Unknown
qotchor,14,Unknown
qokeeody,13,Unknown
choy,13,Generic
shee,13,Unknown
keeol,13,Unknown
ykeol,13,Unknown
do,13,Unknown
qokechy,13,Unknown
sheeky,13,Unknown
lcheey,13,Unknown
shedaiin,13,Unknown
chckhdy,13,Unknown
yteody,13,Unknown
teedy,13,Unknown
chkal,13,Unknown
qotchol,13,Unknown
cphy,13,Unknown
dalplant,13,Unknown
shes,13,Unknown
qoteody,12,Unknown
shocthy,12,Unknown
ockhy,12,Generic
olkey,12,Generic
shky,12,Unknown
ychedy,12,Unknown
yshey,12,Unknown
oteeo,12,Unknown
otody,12,Unknown
chekal,12,Unknown
ry,12,Unknown
aldy,12,Unknown
