Folio,Plant Name,Keyword 1,Score 1,Keyword 2,Score 2,Keyword 3,Score 3
f2r,Devil’s dung / Giant Fennel / Ferula foetida,kydainy,0.0526,otchal<-><!plant>ypchaiin,0.0526,ckholsy<-><!plant>,0.0526
f2v,Water Lily / Nymphaea odorata,chor<-><!plant>dair,0.0746,shty,0.0746,loeees,0.0746
f3r,Salvia / Garden Sage / Salvia officinalis,cham,0.0770,damo<-><!plant>,0.0739,ycheor,0.0574
f8v,Bugloss / Anchusa officinalis,chear,0.0489,cthar,0.0470,cthod,0.0402
f14r,Sorrel / Rumex acetosa,pcho!daiin,0.0562,chopol,0.0562,ol!chy,0.0562
f15v,Herb Paris / Paris quadrifolia,ytchor,0.0803,choiin,0.0702,poror,0.0578
f20r,Pennyroyal / Mentha pulegium,cheey,0.0714,qoteey,0.0707,choiin,0.0587
f21r,Thyme / Thymus vulgaris,qotchol,0.0487,oeeockhy,0.0432,o!fychey,0.0432
f25r,Lemon Balm / Melissa officinalis,cthain,0.1421,chain,0.1132,ck!y,0.0855
f31r,Siderica / Unknown,qokedy,0.0777,okedy,0.0777,sheol,0.0515
f31v,Fennel / Foeniculum vulgare,cheody,0.0428,okeey,0.0413,podair,0.0380
f35r,Unknown / Unknown,taiin,0.0850,chaiin,0.0775,daiin<-><!plant>,0.0597
f35v,English Ivy / Hedera helix,chocthy,0.0573,roaiin,0.0472,yty<-><!plant>,0.0472
f36r,Larkspur / Delphinium,pchafdan,0.0789,qorain,0.0789,chcfhal,0.0789
f36v,Henbit / Lasmium,yky,0.0723,pcharasy,0.0595,qoforom,0.0595
f37v,Mint / Menthe,daiin<-><!plant>,0.0995,dain<-><!plant>,0.0775,dshor,0.0648
f41r,Oregano / Marjoram / Origamum vulgare,qokedy,0.1128,chekedy,0.0850,yteedy,0.0691
f44v,Italian Parsley / Petroselinum crispun,tol,0.0730,cphaiin,0.0718,ytaiin,0.0505
f47r,Houseleek / Sempervivum tectorum,dai!n,0.0631,pchair,0.0519,chdy<-><!plant>,0.0519
f49v,Water Lily / Nymphaea alba,<!label,0.4708,?<!@192>,0.0448,?<!@140>,0.0448
f52v,Heliotrope / Heliopropium,aiin<-><!plant>,0.0770,chcphol,0.0554,cphaii!n,0.0554
f53v,Hawkweed / Hieracium aurantiaca,shodaiin<-><!plant>,0.1109,qodal,0.0861,qodckhy,0.0554
f55v,Unknown / Unknown,ykain,0.0787,qokaiin,0.0591,aiin,0.0576
f87v,Lousewort / Pedicularis flammea,p!!!!!cheey,0.0554,cph!odar,0.0554,dcheody,0.0554
f1v,Herba orbicularis / Deadly Nightshade / Aristrolochia pallida / Atropa belladonna,dol,0.0732,kchsy,0.0513,chadaiin,0.0513
f4r,Alpine Saxifrage / Saxifraga cespitosa,kodalchy,0.0684,chpady,0.0684,qotey<-><!plant>doiin,0.0684
f5v,Mallow / Malva sylvestris,k!o!cheor,0.0912,pshod,0.0912,chols,0.0912
f6r,Bear Breeches / Acanthus mollis,qodaiin,0.0631,cthy<-><!plant>,0.0546,cholor,0.0519
f6v,Caster Oil / Ricinus communis,or<-><!plant>,0.0654,oees,0.0603,cthom,0.0532
f7v,Madder / Rubia tinctorun,kshy,0.0974,dor,0.0598,polyshy,0.0586
f10r,Chicory / Endive / Cichorium pumilum,yty,0.0558,qotor,0.0486,chorchy,0.0477
