Sign,ZodiacPage,Word,HerbalPage,Count,IsLabel,Type
Pisces,f70r1,okchy,f56r,1,True,Label
Pisces,f70r1,okchy,f45v,1,True,Label
Pisces,f70r1,okchy,f20v,1,True,Label
Pisces,f70r1,okchy,f22r,2,False,HighFreq
Pisces,f70r1,o,f38v,1,True,Label
Pisces,f70r1,o,f49v,3,True,Label
Pisces,f70r1,o,f54r,2,True,Label
Pisces,f70r1,o,f57v,7,True,Label
Pisces,f70r1,o,f31v,2,False,HighFreq
Pisces,f70r1,o,f28v,2,False,HighFreq
Pisces,f70r1,o,f49r,1,True,Label
Pisces,f70r1,o,f89r2,1,True,Label
Pisces,f70r1,o,f14r,1,True,Label
Pisces,f70r1,o,f35r,1,True,Label
Pisces,f70r1,o,f66r,6,True,Label
Pisces,f70r1,o,f40v,2,False,HighFreq
Pisces,f70r1,okeol,f102r2,3,False,HighFreq
Pisces,f70r1,okeol,f99r,6,False,HighFreq
Pisces,f70r1,okeol,f99v,4,False,HighFreq
Pisces,f70r1,okeol,f102v2,3,False,HighFreq
Pisces,f70r1,okeol,f89r2,3,False,HighFreq
Pisces,f70r1,okeol,f93r,1,True,Label
Pisces,f70r1,okeol,f100v,2,False,HighFreq
Pisces,f70r1,okeol,f17v,2,False,HighFreq
Pisces,f70r1,okeol,f101r,5,False,HighFreq
Pisces,f70r1,oteody,f88v,2,False,HighFreq
Pisces,f70r1,oteody,f48v,1,True,Label
Pisces,f70r1,otol,f32r,1,True,Label
Pisces,f70r1,otol,f53r,2,True,Label
Pisces,f70r1,otol,f5v,2,True,Label
Pisces,f70r1,otol,f44v,2,False,HighFreq
Pisces,f70r1,otol,f28v,1,True,Label
Pisces,f70r1,otol,f102v2,1,True,Label
Pisces,f70r1,otol,f1r,1,True,Label
Pisces,f70r1,otol,f29v,1,True,Label
Pisces,f70r1,otcho,f96r,1,True,Label
Pisces,f70r1,otcho,f15r,1,True,Label
Pisces,f70r1,otcho,f32r,1,True,Label
Pisces,f70r1,otcho,f14r,1,True,Label
Pisces,f70r1,okeody,f102v1,2,True,Label
Pisces,f70r1,okeody,f102r2,2,False,HighFreq
Pisces,f70r1,okeody,f66r,2,False,HighFreq
Pisces,f70r1,okol,f45v,1,True,Label
Pisces,f70r1,okol,f23r,2,True,Label
Pisces,f70r1,okol,f88r,2,True,Label
Pisces,f70r1,okol,f1v,2,True,Label
Pisces,f70r1,okol,f102r2,2,True,Label
Pisces,f70r1,okol,f101v,1,True,Label
Pisces,f70r1,okol,f44v,1,True,Label
Pisces,f70r1,okol,f99v,5,False,HighFreq
Pisces,f70r1,okol,f89v1,4,False,HighFreq
Pisces,f70r1,okol,f89r2,1,True,Label
Pisces,f70r1,okol,f17v,2,False,HighFreq
Pisces,f70r1,okol,f2r,1,True,Label
Pisces,f70r1,okol,f101r,2,False,HighFreq
Pisces,f70r1,okchol,f42r,1,True,Label
